Age,Gender,Education,Person Income,Employee Experience,Home Ownership,Loan Amount,Loan Intent,Loan interest Rate,Loan percentage,Credit History,Credit Score,Is Rejected
22,female,Master,71948,0,RENT,35000,PERSONAL,16.02,0.49,3,561,1
25,female,High School,12438,3,MORTGAGE,5500,MEDICAL,12.87,0.44,3,635,1
23,female,Bachelor,79753,0,RENT,35000,MEDICAL,15.23,0.44,2,675,1
24,male,Master,66135,1,RENT,35000,MEDICAL,14.27,0.53,4,586,1
21,female,High School,12951,0,OWN,2500,VENTURE,7.14,0.19,2,532,1
26,female,Bachelor,93471,1,RENT,35000,EDUCATION,12.42,0.37,3,701,1
24,female,High School,95550,5,RENT,35000,MEDICAL,11.11,0.37,4,585,1
24,female,Associate,100684,3,RENT,35000,PERSONAL,8.9,0.35,2,544,1
21,female,High School,12739,0,OWN,1600,VENTURE,14.74,0.13,3,640,1
22,female,High School,102985,0,RENT,35000,VENTURE,10.37,0.34,4,621,1
21,female,Associate,13113,0,OWN,4500,HOMEIMPROVEMENT,8.63,0.34,2,651,1
23,male,Bachelor,114860,3,RENT,35000,VENTURE,7.9,0.3,2,573,1
26,male,Master,130713,0,RENT,35000,EDUCATION,18.39,0.27,4,708,1
23,female,Associate,138998,0,RENT,35000,EDUCATION,7.9,0.25,4,583,0
23,male,Bachelor,144943,0,RENT,35000,EDUCATION,7.9,0.24,4,663,0
23,female,High School,111369,0,RENT,35000,MEDICAL,20.0,0.31,4,694,1
23,male,Bachelor,136628,0,RENT,35000,DEBTCONSOLIDATION,18.25,0.26,4,709,1
24,female,Master,14283,1,MORTGAGE,1750,EDUCATION,10.99,0.12,2,679,1
25,male,High School,165792,4,RENT,34800,PERSONAL,16.77,0.21,2,662,0
22,female,Master,79255,0,RENT,34000,EDUCATION,17.58,0.43,4,691,1
22,male,Bachelor,97420,1,RENT,33950,PERSONAL,14.54,0.35,4,691,1
24,female,High School,82443,0,RENT,33000,HOMEIMPROVEMENT,12.68,0.4,3,654,1
21,female,Associate,14288,0,MORTGAGE,4575,VENTURE,17.74,0.32,3,626,1
23,male,High School,14293,0,OWN,1400,PERSONAL,9.32,0.1,3,607,0
